ticker,Close,Date
zzzETC,15.162721633911133,12/19 00:00:00/22
zzzETC,15.949490547180176,12/20 00:00:00/22
zzzETC,16.621147155761719,12/21 00:00:00/22
zzzETC,16.489723205566406,12/22 00:00:00/22
zzzETC,16.393714904785156,12/23 00:00:00/22
zzzETC,16.458059310913086,12/24 00:00:00/22
zzzETC,16.188863754272461,12/25 00:00:00/22
zzzETC,16.257604598999023,12/26 00:00:00/22
zzzETC,15.845548629760742,12/27 00:00:00/22
zzzETC,15.115042686462402,12/28 00:00:00/22
zzzETC,15.830416679382324,12/29 00:00:00/22
zzzETH,1216.901245117187500,11/29 00:00:00/22
zzzETH,1295.688598632812500,11/30 00:00:00/22
zzzETH,1276.273925781250000,12/01 00:00:00/22
zzzETH,1294.303344726562500,12/02 00:00:00/22
zzzETH,1243.334838867187500,12/03 00:00:00/22
zzzETH,1280.256591796875000,12/04 00:00:00/22
zzzETH,1259.676757812500000,12/05 00:00:00/22
zzzETH,1271.653808593750000,12/06 00:00:00/22
zzzETH,1232.437500000000000,12/07 00:00:00/22
zzzETH,1281.116333007812500,12/08 00:00:00/22
zzzETH,1264.284790039062500,12/09 00:00:00/22
zzzETH,1266.384155273437500,12/10 00:00:00/22
zzzETH,1263.868530273437500,12/11 00:00:00/22
zzzETH,1274.619018554687500,12/12 00:00:00/22
zzzETH,1320.549194335937500,12/13 00:00:00/22
zzzETH,1309.328735351562500,12/14 00:00:00/22
zzzETH,1266.353881835937500,12/15 00:00:00/22
zzzETH,1168.259399414062500,12/16 00:00:00/22
zzzETH,1188.149536132812500,12/17 00:00:00/22
zzzETH,1184.715209960937500,12/18 00:00:00/22
zzzETH,1167.609863281250000,12/19 00:00:00/22
zzzETH,1217.703613281250000,12/20 00:00:00/22
zzzETH,1213.599975585937500,12/21 00:00:00/22
zzzETH,1218.182128906250000,12/22 00:00:00/22
zzzETH,1220.159423828125000,12/23 00:00:00/22
zzzETH,1221.148559570312500,12/24 00:00:00/22
zzzETH,1218.962036132812500,12/25 00:00:00/22
zzzETH,1226.974365234375000,12/26 00:00:00/22
zzzETH,1212.791625976562500,12/27 00:00:00/22
zzzETH,1189.986083984375000,12/28 00:00:00/22
zzzETH,1201.529785156250000,12/29 00:00:00/22
zzzXTZ,0.977873980998993,11/29 00:00:00/22
zzzXTZ,1.019615054130554,11/30 00:00:00/22
zzzXTZ,1.001844048500061,12/01 00:00:00/22
zzzXTZ,1.028709053993225,12/02 00:00:00/22
zzzXTZ,0.996159017086029,12/03 00:00:00/22
zzzXTZ,1.006145954132080,12/04 00:00:00/22
zzzXTZ,1.005118966102600,12/05 00:00:00/22
zzzXTZ,1.013558030128479,12/06 00:00:00/22
zzzXTZ,0.984641015529633,12/07 00:00:00/22
zzzXTZ,1.001507043838501,12/08 00:00:00/22
zzzXTZ,0.984309971332550,12/09 00:00:00/22
zzzXTZ,0.997565984725952,12/10 00:00:00/22
zzzXTZ,0.989489018917084,12/11 00:00:00/22
zzzXTZ,0.960222005844116,12/12 00:00:00/22
zzzXTZ,0.969865024089813,12/13 00:00:00/22
zzzXTZ,0.951451003551483,12/14 00:00:00/22
zzzXTZ,0.955419003963470,12/15 00:00:00/22
zzzXTZ,0.838298976421356,12/16 00:00:00/22
zzzXTZ,0.844272971153259,12/17 00:00:00/22
